Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Names (ordered locus)	Organism	Length	Gene Ontology IDs	Transmembrane	Intramembrane
P73541	unreviewed	P73541_SYNY3	Sll1273 protein	sll1273	sll1273	Synechocystis sp. (strain PCC 6803 / Kazusa)	474			
P73542	unreviewed	P73542_SYNY3	Sll1272 protein	sll1272	sll1272	Synechocystis sp. (strain PCC 6803 / Kazusa)	256			
P73543	unreviewed	P73543_SYNY3	Sll1271 protein	sll1271	sll1271	Synechocystis sp. (strain PCC 6803 / Kazusa)	572	GO:0008643; GO:0015288; GO:0016020		
P73547	unreviewed	P73547_SYNY3	Precorrin decarbocylase	cbiT		Synechocystis sp. (strain PCC 6803 / Kazusa)	227	GO:0008276; GO:0008757; GO:0009236		
P73549	unreviewed	P73549_SYNY3	Sll1268 protein	sll1268	sll1268	Synechocystis sp. (strain PCC 6803 / Kazusa)	517	GO:0016020	TRANSMEM 33..54; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73550	unreviewed	P73550_SYNY3	Sll1267 protein	sll1267	sll1267	Synechocystis sp. (strain PCC 6803 / Kazusa)	196			
P73551	unreviewed	P73551_SYNY3	Sll1265 protein	sll1265	sll1265	Synechocystis sp. (strain PCC 6803 / Kazusa)	1978	GO:0005886; GO:0009306		
P73552	unreviewed	P73552_SYNY3	Sll0877 protein	sll0877	sll0877	Synechocystis sp. (strain PCC 6803 / Kazusa)	456			
P73556	unreviewed	P73556_SYNY3	Slr0876 protein	slr0876	slr0876	Synechocystis sp. (strain PCC 6803 / Kazusa)	409	GO:0070221; GO:0070224; GO:0071949		
P73557	unreviewed	P73557_SYNY3	RNA-binding protein	ssr1480	ssr1480	Synechocystis sp. (strain PCC 6803 / Kazusa)	83	GO:0003723		
P73559	unreviewed	P73559_SYNY3	Slr0878 protein	slr0878	slr0878	Synechocystis sp. (strain PCC 6803 / Kazusa)	245	GO:0004222		
P73564	unreviewed	P73564_SYNY3	Slr0881 protein	slr0881	slr0881	Synechocystis sp. (strain PCC 6803 / Kazusa)	103			
P73565	unreviewed	P73565_SYNY3	Sll0872 protein	sll0872	sll0872	Synechocystis sp. (strain PCC 6803 / Kazusa)	130			
P73566	unreviewed	P73566_SYNY3	Slr0882 protein	slr0882	slr0882	Synechocystis sp. (strain PCC 6803 / Kazusa)	394	GO:0015920; GO:0043190	TRANSMEM 31..56; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 77..96; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 116..137; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 311..331; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 337..357; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 369..388; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73567	unreviewed	P73567_SYNY3	Regulation of penicillin binding protein 5 production	psr		Synechocystis sp. (strain PCC 6803 / Kazusa)	481	GO:0016020	TRANSMEM 48..71; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73568	unreviewed	P73568_SYNY3	Sll0871 protein	sll0871	sll0871	Synechocystis sp. (strain PCC 6803 / Kazusa)	142			
P73570	unreviewed	P73570_SYNY3	Slr0885 protein	slr0885	slr0885	Synechocystis sp. (strain PCC 6803 / Kazusa)	191			
P73573	unreviewed	P73573_SYNY3	Sll0867 protein	sll0867	sll0867	Synechocystis sp. (strain PCC 6803 / Kazusa)	430	GO:0016491		
P73575	unreviewed	P73575_SYNY3	Slr0887 protein	slr0887	slr0887	Synechocystis sp. (strain PCC 6803 / Kazusa)	269	GO:0003824; GO:0005829; GO:0019752		
P73576	unreviewed	P73576_SYNY3	Slr0888 protein	slr0888	slr0888	Synechocystis sp. (strain PCC 6803 / Kazusa)	168	GO:0016020	TRANSMEM 12..37; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 57..81; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 93..113; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 141..162; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73578	unreviewed	P73578_SYNY3	Ssr1499 protein	ssr1499	ssr1499	Synechocystis sp. (strain PCC 6803 / Kazusa)	89	GO:0016020	TRANSMEM 36..54; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 60..83; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73579	unreviewed	P73579_SYNY3	Slr0890 protein	slr0890	slr0890	Synechocystis sp. (strain PCC 6803 / Kazusa)	131			
P73581	unreviewed	P73581_SYNY3	N-acetylmuramoyl-L-alanine amidase	amiA		Synechocystis sp. (strain PCC 6803 / Kazusa)	591	GO:0008745; GO:0009253		
P73582	unreviewed	P73582_SYNY3	Sll0864 protein	sll0864	sll0864	Synechocystis sp. (strain PCC 6803 / Kazusa)	157	GO:0006508; GO:0008235; GO:0008270		
P73583	unreviewed	P73583_SYNY3	Sll0863 protein	sll0863	sll0863	Synechocystis sp. (strain PCC 6803 / Kazusa)	133	GO:0016020	TRANSMEM 29..49; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 69..93; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73584	unreviewed	P73584_SYNY3	Sll0862 protein	sll0862	sll0862	Synechocystis sp. (strain PCC 6803 / Kazusa)	503	GO:0006508; GO:0016020	TRANSMEM 12..28; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 40..59; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 65..84; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 224..246; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 258..278; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 316..342; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 354..374; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 386..405; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 425..454; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 475..497; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73586	unreviewed	P73586_SYNY3	Sll0860 protein	sll0860	sll0860	Synechocystis sp. (strain PCC 6803 / Kazusa)	173			
P73587	unreviewed	P73587_SYNY3	Ssl2595 protein	ssl2595	ssl2595	Synechocystis sp. (strain PCC 6803 / Kazusa)	89			
P73588	unreviewed	P73588_SYNY3	Sll1315 protein	sll1315	sll1315	Synechocystis sp. (strain PCC 6803 / Kazusa)	352			
P73589	unreviewed	P73589_SYNY3	C4-dicarboxylase binding protein	dctP		Synechocystis sp. (strain PCC 6803 / Kazusa)	369	GO:0016020; GO:0030288; GO:0055085; GO:0071702		
P73590	unreviewed	P73590_SYNY3	Slr1403 protein	slr1403	slr1403	Synechocystis sp. (strain PCC 6803 / Kazusa)	3016	GO:0007154; GO:0007155; GO:0008305		
P73591	unreviewed	P73591_SYNY3	Sll1308 protein	sll1308	sll1308	Synechocystis sp. (strain PCC 6803 / Kazusa)	248	GO:0016491		
P73592	unreviewed	P73592_SYNY3	Slr1406 protein	slr1406	slr1406	Synechocystis sp. (strain PCC 6803 / Kazusa)	181	GO:0030288		
P73593	unreviewed	P73593_SYNY3	Slr1407 protein	slr1407	slr1407	Synechocystis sp. (strain PCC 6803 / Kazusa)	289	GO:0016020	TRANSMEM 6..29; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73596	unreviewed	P73596_SYNY3	Sll1307 protein	sll1307	sll1307	Synechocystis sp. (strain PCC 6803 / Kazusa)	175	GO:0030288		
P73597	unreviewed	P73597_SYNY3	Sll1306 protein	sll1306	sll1306	Synechocystis sp. (strain PCC 6803 / Kazusa)	335	GO:0005975; GO:0016810; GO:0030288		
P73598	unreviewed	P73598_SYNY3	Sll1305 protein	sll1305	sll1305	Synechocystis sp. (strain PCC 6803 / Kazusa)	295	GO:0016787		
P73600	unreviewed	P73600_SYNY3	Sll1785 protein	sll1785	sll1785	Synechocystis sp. (strain PCC 6803 / Kazusa)	268	GO:0030288; GO:0046872		
P73601	unreviewed	P73601_SYNY3	Sll1784 protein	sll1784	sll1784	Synechocystis sp. (strain PCC 6803 / Kazusa)	267	GO:0030288		
P73603	unreviewed	P73603_SYNY3	Slr1852 protein	slr1852	slr1852	Synechocystis sp. (strain PCC 6803 / Kazusa)	188			
P73604	unreviewed	P73604_SYNY3	Slr1853 protein	slr1853	slr1853	Synechocystis sp. (strain PCC 6803 / Kazusa)	113	GO:0051920		
P73605	unreviewed	P73605_SYNY3	Slr1854 protein	slr1854	slr1854	Synechocystis sp. (strain PCC 6803 / Kazusa)	198			
P73606	unreviewed	P73606_SYNY3	Slr1855 protein	slr1855	slr1855	Synechocystis sp. (strain PCC 6803 / Kazusa)	607	GO:0005975; GO:0016853		
P73607	unreviewed	P73607_SYNY3	Anti-sigma factor antagonist	slr1856	slr1856	Synechocystis sp. (strain PCC 6803 / Kazusa)	109	GO:0043856		
P73609	unreviewed	P73609_SYNY3	Anti-sigma factor antagonist	slr1859	slr1859	Synechocystis sp. (strain PCC 6803 / Kazusa)	108	GO:0043856		
P73611	unreviewed	P73611_SYNY3	Slr1861 protein	slr1861	slr1861	Synechocystis sp. (strain PCC 6803 / Kazusa)	143			
P73612	unreviewed	P73612_SYNY3	Slr1862 protein	slr1862	slr1862	Synechocystis sp. (strain PCC 6803 / Kazusa)	234			
P73613	unreviewed	P73613_SYNY3	Slr1863 protein	slr1863	slr1863	Synechocystis sp. (strain PCC 6803 / Kazusa)	506			
P73614	unreviewed	P73614_SYNY3	Slr1864 protein	slr1864	slr1864	Synechocystis sp. (strain PCC 6803 / Kazusa)	356	GO:0005886; GO:0055085	TRANSMEM 7..29; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 49..68; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 75..98; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 140..164; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 211..232; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 244..261; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 273..297; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 303..323; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 330..351; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73615	unreviewed	P73615_SYNY3	Slr1865 protein	slr1865	slr1865	Synechocystis sp. (strain PCC 6803 / Kazusa)	420			
P73616	unreviewed	P73616_SYNY3	Slr1866 protein	slr1866	slr1866	Synechocystis sp. (strain PCC 6803 / Kazusa)	333	GO:0016020	TRANSMEM 313..331; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73619	unreviewed	P73619_SYNY3	Sll1775 protein	sll1775	sll1775	Synechocystis sp. (strain PCC 6803 / Kazusa)	817	GO:0004348; GO:0005975; GO:0006680; GO:0008422; GO:0016020		
P73620	unreviewed	P73620_SYNY3	Sll1774 protein	sll1774	sll1774	Synechocystis sp. (strain PCC 6803 / Kazusa)	260			
P73621	unreviewed	P73621_SYNY3	Slr1869 protein	slr1869	slr1869	Synechocystis sp. (strain PCC 6803 / Kazusa)	252			
P73622	unreviewed	P73622_SYNY3	Slr1870 protein	slr1870	slr1870	Synechocystis sp. (strain PCC 6803 / Kazusa)	249	GO:0004540		
P73624	unreviewed	P73624_SYNY3	Transcriptional regulator	slr1871	slr1871	Synechocystis sp. (strain PCC 6803 / Kazusa)	295	GO:0000976; GO:0003700; GO:0006351; GO:0006355		
P73626	unreviewed	P73626_SYNY3	Sll1771 protein	sll1771	sll1771	Synechocystis sp. (strain PCC 6803 / Kazusa)	254			
P73629	unreviewed	P73629_SYNY3	Ssl3383 protein	ssl3383	ssl3383	Synechocystis sp. (strain PCC 6803 / Kazusa)	90			
P73630	unreviewed	P73630_SYNY3	Ssl3382 protein	ssl3382	ssl3382	Synechocystis sp. (strain PCC 6803 / Kazusa)	58			
P73631	unreviewed	P73631_SYNY3	OppB in a binding protein-dependent transport system	sll1768	sll1768	Synechocystis sp. (strain PCC 6803 / Kazusa)	326	GO:0005886; GO:0055085	TRANSMEM 17..38; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 108..132; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 144..166; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 194..213; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 250..274; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 294..317; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"	
P73635	unreviewed	P73635_SYNY3	Slr1876 protein	slr1876	slr1876	Synechocystis sp. (strain PCC 6803 / Kazusa)	157	GO:0004175; GO:0008047; GO:0016485		
P73637	unreviewed	P73637_SYNY3	5-oxo-1,2,5-tricarboxilic-3-penten acid decarboxilase/isomer	hpcE		Synechocystis sp. (strain PCC 6803 / Kazusa)	276	GO:0018773		
P73640	unreviewed	P73640_SYNY3	Sll1765 protein	sll1765	sll1765	Synechocystis sp. (strain PCC 6803 / Kazusa)	159			
P73641	unreviewed	P73641_SYNY3	Sll1764 protein	sll1764	sll1764	Synechocystis sp. (strain PCC 6803 / Kazusa)	144			
P73642	unreviewed	P73642_SYNY3	Sll1763 protein	sll1763	sll1763	Synechocystis sp. (strain PCC 6803 / Kazusa)	134			
P73643	unreviewed	P73643_SYNY3	Sll1762 protein	sll1762	sll1762	Synechocystis sp. (strain PCC 6803 / Kazusa)	382	GO:0030288		
P73644	unreviewed	P73644_SYNY3	S-adenosyl-methionine: precorrin-2 methyltransferase	cbiL		Synechocystis sp. (strain PCC 6803 / Kazusa)	242	GO:0009236; GO:0030788; GO:0032259		
P73645	unreviewed	P73645_SYNY3	Sll1761 protein	sll1761	sll1761	Synechocystis sp. (strain PCC 6803 / Kazusa)	204			
P73647	unreviewed	P73647_SYNY3	Slr1880 protein	slr1880	slr1880	Synechocystis sp. (strain PCC 6803 / Kazusa)	377			
P73649	unreviewed	P73649_SYNY3	Ferredoxin	ssr3184	ssr3184	Synechocystis sp. (strain PCC 6803 / Kazusa)	75	GO:0009055; GO:0046872; GO:0051539		
P73650	unreviewed	P73650_SYNY3	High-affinity branched-chain amino acid transport ATP-binding protein BraG	livF		Synechocystis sp. (strain PCC 6803 / Kazusa)	240	GO:0005524; GO:0015803; GO:0015807; GO:0016887		
P73652	unreviewed	P73652_SYNY3	Sll1757 protein	sll1757	sll1757	Synechocystis sp. (strain PCC 6803 / Kazusa)	292	GO:0016020	TRANSMEM 33..56; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 68..88; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 108..128; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73653	unreviewed	P73653_SYNY3	Ssr3188 protein	ssr3188	ssr3188	Synechocystis sp. (strain PCC 6803 / Kazusa)	89			
P73654	unreviewed	P73654_SYNY3	Ssl3364 protein	ssl3364	ssl3364	Synechocystis sp. (strain PCC 6803 / Kazusa)	74			
P73656	unreviewed	P73656_SYNY3	Ssr3189 protein	ssr3189	ssr3189	Synechocystis sp. (strain PCC 6803 / Kazusa)	55			
P73657	unreviewed	P73657_SYNY3	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) (EC 3.6.1.41)	slr1885	slr1885	Synechocystis sp. (strain PCC 6803 / Kazusa)	192			
P73659	unreviewed	P73659_SYNY3	Sll1755 protein	sll1755	sll1755	Synechocystis sp. (strain PCC 6803 / Kazusa)	407	GO:0016020	TRANSMEM 34..54; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 140..164; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 171..199; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 219..244; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 256..274; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 313..331; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 340..359; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 389..405; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73661	unreviewed	P73661_SYNY3	Slr1888 protein	slr1888	slr1888	Synechocystis sp. (strain PCC 6803 / Kazusa)	630	GO:0006083; GO:0008775; GO:0016747		
P73663	unreviewed	P73663_SYNY3	Sll2015 protein	sll2015	sll2015	Synechocystis sp. (strain PCC 6803 / Kazusa)	204			
P73665	unreviewed	P73665_SYNY3	Sll2013 protein	sll2013	sll2013	Synechocystis sp. (strain PCC 6803 / Kazusa)	195			
P73666	unreviewed	P73666_SYNY3	RNA polymerase sigma factor	rpoD		Synechocystis sp. (strain PCC 6803 / Kazusa)	318	GO:0003677; GO:0006352; GO:0016987		
P73669	unreviewed	P73669_SYNY3	Processing protease	sll2009	sll2009	Synechocystis sp. (strain PCC 6803 / Kazusa)	435	GO:0006508; GO:0008233; GO:0046872		
P73670	unreviewed	P73670_SYNY3	Processing protease	sll2008	sll2008	Synechocystis sp. (strain PCC 6803 / Kazusa)	430	GO:0004222; GO:0006508; GO:0046872		
P73671	unreviewed	P73671_SYNY3	Hydrogenase accessory protein	hupE		Synechocystis sp. (strain PCC 6803 / Kazusa)	258	GO:0016020	TRANSMEM 96..116; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 123..143; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 149..167; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 174..191; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 203..223; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 235..257; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73673	unreviewed	P73673_SYNY3	Sll2007 protein	sll2007	sll2007	Synechocystis sp. (strain PCC 6803 / Kazusa)	138	GO:0003676; GO:0004519; GO:0008270		
P73674	unreviewed	P73674_SYNY3	Sll2006 protein	sll2006	sll2006	Synechocystis sp. (strain PCC 6803 / Kazusa)	118			
P73675	unreviewed	P73675_SYNY3	Ssl3829 protein	ssl3829	ssl3829	Synechocystis sp. (strain PCC 6803 / Kazusa)	85			
P73678	unreviewed	P73678_SYNY3	Sll2003 protein	sll2003	sll2003	Synechocystis sp. (strain PCC 6803 / Kazusa)	443	GO:0005886; GO:0016757	TRANSMEM 68..84; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 90..122; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 134..151; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 191..210; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 217..235; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 241..259; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 271..291; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 297..314; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 326..346; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73679	unreviewed	P73679_SYNY3	Isopenicillin N epimerase	cefD		Synechocystis sp. (strain PCC 6803 / Kazusa)	401			
P73680	unreviewed	P73680_SYNY3	Sll2002 protein	sll2002	sll2002	Synechocystis sp. (strain PCC 6803 / Kazusa)	292	GO:0003723		
P73681	unreviewed	P73681_SYNY3	Slr2144 protein	slr2144	slr2144	Synechocystis sp. (strain PCC 6803 / Kazusa)	301	GO:0030288		
P73683	unreviewed	P73683_SYNY3	Transposase	sll1710	sll1710	Synechocystis sp. (strain PCC 6803 / Kazusa)	261	GO:0003677; GO:0004803; GO:0006313		
P73684	unreviewed	P73684_SYNY3	Glucose dehydrogenase	gdh		Synechocystis sp. (strain PCC 6803 / Kazusa)	248			
P73685	unreviewed	P73685_SYNY3	Ssl3291 protein	ssl3291	ssl3291	Synechocystis sp. (strain PCC 6803 / Kazusa)	94			
P73686	unreviewed	P73686_SYNY3	NarL subfamily	sll1708	sll1708	Synechocystis sp. (strain PCC 6803 / Kazusa)	226	GO:0000160; GO:0003677; GO:0006355		
P73688	unreviewed	P73688_SYNY3	Cell-cell signaling protein, C-factor	csgA		Synechocystis sp. (strain PCC 6803 / Kazusa)	256	GO:0005737; GO:0016491		
P73691	unreviewed	P73691_SYNY3	Slr1807 protein	slr1807	slr1807	Synechocystis sp. (strain PCC 6803 / Kazusa)	261			
P73692	unreviewed	P73692_SYNY3	Slr1809 protein	slr1809	slr1809	Synechocystis sp. (strain PCC 6803 / Kazusa)	265	GO:0016020	TRANSMEM 144..167; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73693	unreviewed	P73693_SYNY3	Extracellular solute-binding protein	sll1699	sll1699	Synechocystis sp. (strain PCC 6803 / Kazusa)	631	GO:0015833; GO:0030288; GO:0043190; GO:1904680		
P73694	unreviewed	P73694_SYNY3	Sll1698 protein	sll1698	sll1698	Synechocystis sp. (strain PCC 6803 / Kazusa)	126	GO:0016020	TRANSMEM 12..31; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 72..94; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 100..120; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73696	unreviewed	P73696_SYNY3	Slr1811 protein	slr1811	slr1811	Synechocystis sp. (strain PCC 6803 / Kazusa)	159			
P73697	unreviewed	P73697_SYNY3	Slr1812 protein	slr1812	slr1812	Synechocystis sp. (strain PCC 6803 / Kazusa)	158			
P73698	unreviewed	P73698_SYNY3	Slr1813 protein	slr1813	slr1813	Synechocystis sp. (strain PCC 6803 / Kazusa)	153			
P73699	unreviewed	P73699_SYNY3	Slr1814 protein	slr1814	slr1814	Synechocystis sp. (strain PCC 6803 / Kazusa)	154			
P73700	unreviewed	P73700_SYNY3	Slr1815 protein	slr1815	slr1815	Synechocystis sp. (strain PCC 6803 / Kazusa)	178	GO:0008757		
P73701	unreviewed	P73701_SYNY3	Slr1816 protein	slr1816	slr1816	Synechocystis sp. (strain PCC 6803 / Kazusa)	717			
P73702	unreviewed	P73702_SYNY3	Sll1696 protein	sll1696	sll1696	Synechocystis sp. (strain PCC 6803 / Kazusa)	270			
P73703	unreviewed	P73703_SYNY3	General secretion pathway protein G	hofG		Synechocystis sp. (strain PCC 6803 / Kazusa)	170	GO:0016020	TRANSMEM 24..44; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73704	unreviewed	P73704_SYNY3	General secretion pathway protein G	hofG		Synechocystis sp. (strain PCC 6803 / Kazusa)	168	GO:0015627; GO:0015628; GO:0016020	TRANSMEM 21..42; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73705	unreviewed	P73705_SYNY3	Sll1693 protein	sll1693	sll1693	Synechocystis sp. (strain PCC 6803 / Kazusa)	440	GO:0008168; GO:0008757		
P73706	unreviewed	P73706_SYNY3	Slr1818 protein	slr1818	slr1818	Synechocystis sp. (strain PCC 6803 / Kazusa)	201			
P73707	unreviewed	P73707_SYNY3	Sll1692 protein	sll1692	sll1692	Synechocystis sp. (strain PCC 6803 / Kazusa)	145			
P73708	unreviewed	P73708_SYNY3	Sll1691 protein	sll1691	sll1691	Synechocystis sp. (strain PCC 6803 / Kazusa)	150			
P73710	unreviewed	P73710_SYNY3	RNA polymerase sigma factor	rpoD		Synechocystis sp. (strain PCC 6803 / Kazusa)	369	GO:0003677; GO:0006352; GO:0016987		
P73712	unreviewed	P73712_SYNY3	Slr1820 protein	slr1820	slr1820	Synechocystis sp. (strain PCC 6803 / Kazusa)	490	GO:0000030; GO:0005886; GO:0009103; GO:0010041; GO:0016763	TRANSMEM 12..34; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 88..109; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 116..138; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 167..200; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 212..231; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 274..297; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 344..361; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 368..388; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
P73713	unreviewed	P73713_SYNY3	Sll1687 protein	sll1687	sll1687	Synechocystis sp. (strain PCC 6803 / Kazusa)	970	GO:0005886; GO:0043709; GO:0052621; GO:1902201		
P73716	unreviewed	P73716_SYNY3	Slr1732 protein	slr1732	slr1732	Synechocystis sp. (strain PCC 6803 / Kazusa)	149			
P73718	unreviewed	P73718_SYNY3	Sll1630 protein	sll1630	sll1630	Synechocystis sp. (strain PCC 6803 / Kazusa)	141			
P73719	unreviewed	P73719_SYNY3	Sll1628 protein	sll1628	sll1628	Synechocystis sp. (strain PCC 6803 / Kazusa)	384	GO:0009279; GO:0046813		
P73721	unreviewed	P73721_SYNY3	ABC transporter	slr1735	slr1735	Synechocystis sp. (strain PCC 6803 / Kazusa)	252	GO:0005524; GO:0015424; GO:0016887		
P73724	unreviewed	P73724_SYNY3	Regulatory components of sensory transduction system	sll1624	sll1624	Synechocystis sp. (strain PCC 6803 / Kazusa)	334	GO:0000160		
P73725	unreviewed	P73725_SYNY3	ABC transporter	sll1623	sll1623	Synechocystis sp. (strain PCC 6803 / Kazusa)	223	GO:0005524; GO:0008272; GO:0016020; GO:0016887; GO:0055085		
P73727	unreviewed	P73727_SYNY3	Slr1737 protein	slr1737	slr1737	Synechocystis sp. (strain PCC 6803 / Kazusa)	363	GO:0009976		
P73729	unreviewed	P73729_SYNY3	Slr1738 protein	slr1738	slr1738	Synechocystis sp. (strain PCC 6803 / Kazusa)	139	GO:0000976; GO:0003700; GO:0008270; GO:0045892; GO:1900376		
P73730	unreviewed	P73730_SYNY3	Sll1620 protein	sll1620	sll1620	Synechocystis sp. (strain PCC 6803 / Kazusa)	158			
P73731	unreviewed	P73731_SYNY3	Photosystem II reaction center Psb28 protein	slr1739	slr1739	Synechocystis sp. (strain PCC 6803 / Kazusa)	122	GO:0009654; GO:0015979		
P73732	unreviewed	P73732_SYNY3	Extracellular solute-binding protein	slr1740	slr1740	Synechocystis sp. (strain PCC 6803 / Kazusa)	582	GO:0015833; GO:0030288; GO:0043190; GO:1904680		
P73733	unreviewed	P73733_SYNY3	Sll1618 protein	sll1618	sll1618	Synechocystis sp. (strain PCC 6803 / Kazusa)	200			
P73736	unreviewed	P73736_SYNY3	N-acetylmuramoyl-L-alanine amidase	amiA		Synechocystis sp. (strain PCC 6803 / Kazusa)	649	GO:0008745; GO:0009253; GO:0030288		
